Sample N,Cl,NO3,SO4,Na,K,Mg,Ca,Top Depth,Mid Depth,Bottom Depth
L1,113.5968,31.6494,447.8344,330.738,1.9499,11.1026,79.1397,155.065,155.095,155.07999999999998
L2,125.7784,38.4252,270.1831,109.0991,0.8173,9.1282,92.7211,155.0957857,155.1257857,155.1107857
L3,134.1413,43.7769,250.2346,114.5509,40.3887,8.4338,103.7826,155.1265714,155.1565714,155.14157139999998
L4,152.8682,40.2929,621.6103,389.0413,22.8651,8.4912,150.6863,155.1573571,155.1973571,155.1773571
L5,88.094,21.7243,218.3683,81.0064,2.4848,9.4222,61.742,155.1981429,155.2411429,155.2196429
L6,85.7631,22.5522,172.1448,75.7705,10.5139,8.7115,49.9899,155.2419286,155.2774286,155.2596786
L7,75.9413,22.5152,203.0844,138.7788,13.4365,12.7429,26.4104,155.2782143,155.3072143,155.2927143
L8,84.5397,26.1177,190.3981,83.8274,2.007,8.8626,48.2638,155.308,155.338,155.32299999999998
RIC1,69.5477,14.2625,152.598,195.0584,1.4918,9.132,27.3218,155.065,155.095,155.08
RIC2,83.418,19.2221,161.4143,74.0654,7.3771,12.0658,20.7335,155.095786,155.125786,155.110786
RIC3,72.063,18.7655,152.5658,58.1382,2.3317,10.8804,18.9752,155.126571,155.156571,155.1415714
RIC4,86.4995,24.2441,219.8693,68.6241,7.581,10.0582,40.1059,155.157357,155.197357,155.177357
RIC5,135.2512,35.9592,261.0586,109.6344,2.4346,9.1635,86.1654,155.198143,155.241143,155.219643
RIC6,132.2604,43.7556,586.4669,134.3606,1.637,10.245,173.4386,155.241929,155.277429,155.259679
RIC7,128.8409,37.6401,323.5197,143.5286,9.0152,7.2912,109.4226,155.278214,155.307214,155.292714