,Total Volume,Vol >4,Vol ratio >4,Vol >6,Vol ratio >6,Vol >8,Vol ratio >8,Vol >10,Vol ratio >10,Vol >12,Vol ratio >12,Vol <4,Vol ratio <4,Vol <6,Vol ratio <6,Vol <8,Vol ratio <8,Vol <10,Vol ratio <10,Vol <12,Mode Particle Size (Âµm)
LIC1,445684.3436131997,271945.4144598329,0.6101749329023968,164685.78511473234,0.3695121614091514,81916.07491524574,0.18379841268630925,33200.42018450939,0.074493126,9357.011914,0.020994706337924465,173738.92915336706,0.38982506709760373,280998.5584984675,0.6304878385908489,363768.2687,0.8162015873136909,412483.9234286903,0.925506874,436327.3317,7.1
LIC2,322110.75142070686,246427.41030176386,0.7650393823083121,185320.35631951643,0.5753311725924686,123382.04872024193,0.3830423175136225,66866.77238431545,0.2075893837426779,29205.111409170182,0.090667919,75683.34111894299,0.2349606176916878,136790.39510119043,0.4246688274075315,198728.70270046493,0.6169576824863775,255243.9790363914,0.792410616,292905.6400115367,8.9
LIC3,203344.2377455952,149368.19352110237,0.7345582799743631,110393.11895543186,0.5428878643394122,70885.19236,0.3485970054769049,36420.11477315362,0.17910571342925868,19525.610773596956,0.096022444,53976.04422449297,0.2654417200256376,92951.11879,0.4571121356605881,132459.0453864969,0.6514029945230951,166924.1229724416,0.8208942865707415,183818.62697199825,8.4
LIC4,255372.85532896567,102187.66404425498,0.4001508457608742,51811.71108959586,0.20288652457933776,25956.808647336802,0.10164278663799178,8578.938469,0.033593776,1180.497473860315,0.004622643,153185.1912847107,0.5998491542391258,203561.14423936978,0.7971134754206621,229416.04668162885,0.8983572133620081,246793.91685948582,0.9664062241132534,254192.35785510537,3.2
LIC5,416082.0864900706,325848.27673727216,0.7831345960745854,251347.33739230424,0.6040811309916905,180088.92036417878,0.4328206529710248,113995.9527804593,0.2739746710609222,57733.80820339183,0.13875581304260162,90233.80975279852,0.21686540392541476,164734.74909776653,0.39591886900830986,235993.16612589185,0.5671793470289752,302086.1337096114,0.7260253289390779,358348.27828667883,11
LIC6,733150.8785482317,604100.6511975636,0.8239786227819704,491277.3213347891,0.6700903398050958,355729.4878114857,0.48520638550674994,228002.4563517494,0.31098981536138176,132415.3145801037,0.18061127450642825,129050.22735066812,0.17602137721802963,241873.55721344234,0.32990966019490386,377421.3907367459,0.514793614,505148.4221964823,0.6890101846386183,600735.564,9
LIC7,1529067.4898971163,1208453.3376763233,0.7903204702610179,955939.9171390921,0.6251783675051601,691983.0367393061,0.4525523178743839,453712.19135163765,0.2967247648317772,267850.70621071063,0.17517258589333623,320614.15222079353,0.20967952973898238,573127.5727580255,0.3748216324948407,837084.4532,0.5474476821256166,1075355.298545479,0.7032752351682231,1261216.7836864062,9.3
LIC8,300538.1391919198,246601.68156974064,0.820533734,203224.31895079592,0.6762014282021606,152426.3727192941,0.507178134,94073.40246003743,0.3130165200096729,50607.213527744556,0.1683886566404387,53936.457622179165,0.179466266,97313.82024112392,0.32379857179783944,148111.76647262563,0.4928218657068458,206464.73673188235,0.6869834799903269,249930.92566417524,9
RIC1,317448.9179736841,268873.50665428996,0.8469819597135281,208468.41756928308,0.6566990963458401,139403.64917184802,0.4391372636003262,85670.11264567061,0.2698705454487405,43240.86963287699,0.13621363055476401,48575.411319394145,0.15301804028647203,108980.50040440106,0.343300904,178045.26880183606,0.5608627363996739,231778.80532801352,0.7301294545512597,274208.04834080714,8
RIC2,139795.64118547636,85718.39710081408,0.6131693118177102,63150.69335329025,0.4517357824447755,43468.046860962924,0.3109399298315097,26479.41992027011,0.18941520419179642,13669.684566853743,0.097783339,54077.244084662336,0.3868306881822902,76644.94783218618,0.548264218,96327.59432451345,0.6890600701684905,113316.22126520627,0.8105847958082038,126125.95661862264,
RIC3,574833.7280217786,459563.9734961556,0.7994728755351393,359693.8362578253,0.6257354409172693,275255.3230973779,0.478843376,198230.56846971382,0.344848534,126116.15955783585,0.21939589382106978,115269.75452562305,0.20052712446486062,215139.89176395326,0.3742645590827306,299578.4049244007,0.5211566237690398,376603.15955206467,0.6551514658823158,448717.56846394273,10.3
RIC4,522694.69815037877,418304.9319721798,0.8002853930839641,327164.42030252126,0.6259187656967516,232155.08453913295,0.44415044836047324,152283.6694647682,0.29134343624230974,89587.12911184283,0.17139475381873628,104389.76617819877,0.1997146069160356,195530.27784785733,0.374081234,290539.6136112457,0.5558495516395265,370411.0286856106,0.7086565637576904,433107.569,8.2
RIC5,663466.3401916943,526413.4518705563,0.793429026,419716.7455385076,0.6326119655403158,306090.53793124406,0.4613505152993983,196940.4345376284,0.296835608,109475.54875714178,0.16500543000495121,137052.88832113796,0.20657097431881694,243749.59465318677,0.3673880344596842,357375.80226045026,0.5386494847006017,466525.90565406595,0.7031643919106331,553990.7914345526,9.6
RIC6,1048144.3642561093,862744.0242460802,0.8231156448171033,686076.5990899886,0.654563076,501217.7354,0.47819532544455556,324192.9620425321,0.30930182243799864,190319.37417179006,0.18157744358704234,185400.34001002889,0.1768843551828965,362067.76516612066,0.34543692406635984,546926.6288777824,0.5218046745554444,723951.4022135773,0.6906981775620014,857824.9900843193,9.1
RIC7,270079.2374343018,164907.60116080908,0.610589702,104052.86526258175,0.3852679171159655,66079.01937531924,0.24466530638584652,42006.96520065186,0.15553570722321916,15965.06773346765,0.059112533,105171.63627349255,0.3894102977800213,166026.37217171988,0.6147320828840338,204000.2180589825,0.7553346936141532,228072.27223364988,0.8444642927767806,254114.1697008341,4.2