ID,top_depth,bottom_depth,mid_depth,CO2,top_depth_relative,bottom_depth_relative,mid_depth_relative
LCO21,155.07,155.0925,155.08125,646,0,1,0.5
LCO22,155.0925,155.1125,155.1025,751,1.11,2.11,1.61
LCO23,155.1125,155.14,155.12625,799,2.23,3.23,2.73
LCO24,155.14,155.1625,155.15125,822,3.34,4.34,3.84
LCO25,155.1625,155.1825,155.1725,818.9,4.45,5.45,4.95
LCO26,155.1825,155.2025,155.1925,793.46,5.57,6.57,6.07
LCO27,155.2025,155.2225,155.2125,773.09,6.68,7.68,7.18
LCO28,155.2225,155.2575,155.24,741.4,7.79,8.79,8.29
LCO29,155.2575,155.2775,155.2675,731.26,8.9,9.9,9.4
LCO210,155.2775,155.2975,155.2875,727.65,10.02,11.02,10.52
LCO211,155.2975,155.3175,155.3075,740.8,11.13,12.13,11.63
LCO312,155.3175,155.33,155.32375,769.28,12.24,13.24,12.74